EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
21324301|2019-01-01T18:37:46.960000|41.8777|13.5488|16.5|BULLETIN-INGV||||Mw|4.1|--|3 km W Collelongo (AQ)
21336781|2019-01-03T23:01:15.000000|37.655|14.939|0.6|SURVEY-INGV-CT||||ML|3.0|--|3 km N Ragalna (CT)
21337411|2019-01-04T03:54:03.000000|37.695|14.935|0.9|SURVEY-INGV-CT||||ML|3.0|--|7 km N Ragalna (CT)
21337511|2019-01-04T04:10:36.000000|37.698|14.939|0.1|SURVEY-INGV-CT||||ML|3.5|--|7 km N Ragalna (CT)
21341431|2019-01-05T01:47:36.330000|37.1433|15.0187|4.2|BULLETIN-INGV||||ML|3.2|--|3 km SW Sortino (SR)
21345451|2019-01-06T02:54:08.470000|38.7098|15.6907|103.9|BULLETIN-INGV||||ML|3.6|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
21346211|2019-01-06T09:50:13.230000|41.6653|14.1645|9.9|BULLETIN-INGV||||ML|3.0|--|1 km SE Acquaviva d'Isernia (IS)
21355221|2019-01-08T23:50:34.000000|37.795|15.046|2.2|SURVEY-INGV-CT||||ML|4.1|--|10 km NW Milo (CT)
21364501|2019-01-12T11:20:33.510000|39.306|15.4177|279.8|BULLETIN-INGV||||ML|3.6|--|Tirreno Meridionale (MARE)
21373071|2019-01-14T23:03:57.020000|44.3467|12.2857|20.6|BULLETIN-INGV||||Mw|4.3|--|10 km SE Ravenna (RA)
21373241|2019-01-14T23:29:07.640000|44.3773|12.3018|20.6|BULLETIN-INGV||||ML|3.0|--|9 km E Ravenna (RA)
21382161|2019-01-17T02:19:23.710000|39.3822|16.7903|27.5|BULLETIN-INGV||||ML|3.4|--|4 km SW Campana (CS)
21390111|2019-01-18T19:04:08.710000|39.247|15.8048|224.5|BULLETIN-INGV||||ML|3.2|--|Costa Calabra nord-occidentale (Cosenza)
21414691|2019-01-25T09:51:30.120000|45.1013|14.89|3.3|BULLETIN-INGV||||ML|3.1|--|Costa Croata Settentrionale (CROAZIA)
21417101|2019-01-25T15:52:07.520000|38.6288|15.4303|215.7|BULLETIN-INGV||||ML|3.8|--|Tirreno Meridionale (MARE)
21437281|2019-01-30T02:51:05.860000|39.5988|17.0443|8.6|BULLETIN-INGV||||ML|3.0|--|Costa Ionica Cosentina (Cosenza)
